Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
22.144,-268.033,-189.731,-82.9526,91.7509,2.57129,0.0558996,15.1652,0.0572721,0.216443
22.244,-267.967,-189.746,-82.5185,91.8178,2.60815,0.0667616,16.0973,0.0603143,0.214755
22.344,-267.896,-189.763,-82.0584,91.8893,2.62069,0.0697363,17.042,0.0638155,0.214642
22.444,-267.822,-189.781,-81.5722,91.965,2.80946,0.0749271,17.9853,0.0667751,0.212829
22.544,-267.757,-189.801,-81.0529,92.0455,6.27882,0.0801382,19.6424,0.067759,0.197779
22.6435,-267.757,-189.824,-80.4782,92.1213,6.30297,-0.0446215,21.9565,0.046769,0.122187
22.7435,-267.798,-189.848,-79.8423,92.1539,3.13591,-0.023016,23.6354,0.02012,0.0485578
22.844,-267.801,-189.874,-79.1694,92.1734,2.22752,0.016458,24.5473,0.0109264,0.0254673
22.9435,-267.78,-189.901,-78.4805,92.1918,2.10082,0.0317369,25.3252,0.0122584,0.0277862
23.0435,-267.757,-189.928,-77.7671,92.2103,1.97233,0.0279503,26.0609,0.0148386,0.0326749
23.144,-267.738,-189.957,-77.0303,92.2294,1.7796,0.0205489,26.7474,0.0153443,0.0329057
23.2445,-267.721,-189.987,-76.2752,92.2484,1.74381,0.023822,27.3886,0.0146154,0.0306024
23.344,-267.706,-190.018,-75.5101,92.2672,1.66067,0.00350874,28.0089,0.0132929,0.0272185
23.444,-267.829,-190.049,-74.7245,92.252,1.54658,-0.361018,28.5837,-0.0401593,-0.0805946
23.544,-268.037,-190.078,-73.918,92.137,5.13247,-0.267069,29.8095,-0.0902898,-0.173856
23.6445,-268.198,-190.106,-73.062,91.99,3.6294,-0.241732,31.4206,-0.102624,-0.1878
23.744,-268.27,-190.133,-72.1764,91.857,3.24652,-0.00635392,32.652,-0.0718654,-0.12651
23.8435,-268.192,-190.161,-71.2612,91.8181,1.17286,0.10907,33.4227,-0.00610145,-0.0103055
23.944,-268.136,-190.191,-70.3228,91.8337,1.10302,0.0695402,33.8324,0.0176973,0.0301099
24.044,-268.106,-190.222,-69.378,91.8577,1.09862,0.0383742,34.2293,0.0215878,0.0361761
24.1435,-268.085,-190.254,-68.427,91.884,0.958043,0.0376676,34.6197,0.0187185,0.0309985
24.244,-268.065,-190.287,-67.4573,91.9107,-0.214833,-0.0509543,34.8134,0.0148374,0.0244336
24.3435,-268.207,-190.318,-66.4974,91.8863,-0.437306,-0.420976,34.6759,-0.0563195,-0.0930415
24.444,-268.529,-190.346,-65.5321,91.7065,-0.44838,-0.53856,34.5137,-0.14215,-0.235672
24.5435,-268.835,-190.368,-64.5806,91.4578,-0.439507,-0.478601,34.3556,-0.175818,-0.292743
24.6445,-269.108,-190.385,-63.6191,91.194,-0.435174,-0.426698,34.1975,-0.180417,-0.301821
24.744,-269.363,-190.397,-62.6762,90.9326,-0.434814,-0.417136,34.0426,-0.175768,-0.295385
